,Log_Key,Level,Feature,Structure,Information,Wording
994,org.apache.flink.mesos.runtime.clusterframework.MesosResourceManager.internalDeregisterApplication410,info,"['<level>', 'info', '</level>', '<message>', 'Shutting', 'down', 'and', 'unregistering', 'as', 'a', 'Mesos', 'framework.', '</message>']",1,1,1
851,org.apache.flink.mesos.runtime.clusterframework.MesosResourceManager.startNewWorker448,info,"['<level>', 'info', '</level>', '<message>', 'Scheduling', 'Mesos', 'task', '{}', 'with', '({}', 'MB,', '{}', 'cpus).', '</message>']",1,1,1
2150,org.apache.flink.mesos.runtime.clusterframework.MesosResourceManager.stopWorker466,info,"['<level>', 'info', '</level>', '<message>', 'Stopping', 'worker', '{}.', '</message>']",1,1,1
707,org.apache.flink.mesos.runtime.clusterframework.MesosResourceManager.taskTerminated665,info,"['<level>', 'info', '</level>', '<message>', 'Worker', '{}', 'failed', 'with', 'status:', '{},', 'reason:', '{},', 'message:', '{}.', '</message>']",1,1,1
852,org.apache.flink.mesos.util.MesosArtifactServer.MesosArtifactServer169,info,"['<level>', 'info', '</level>', '<message>', 'Mesos', 'Artifact', 'Server', 'Base', 'URL:', '{},', 'listening', 'at', '{}:{}', '</message>']",1,1,1
2328,org.apache.flink.mesos.util.MesosConfiguration.logMesosConfig145,info,"['<level>', 'info', '</level>', '<message>', 'ID:', '{}', '</message>']",1,0,1
2329,org.apache.flink.mesos.util.MesosConfiguration.logMesosConfig146,info,"['<level>', 'info', '</level>', '<message>', 'Name:', '{}', '</message>']",1,0,1
2330,org.apache.flink.mesos.util.MesosConfiguration.logMesosConfig148,info,"['<level>', 'info', '</level>', '<message>', 'Role:', '{}', '</message>']",1,0,1
2680,org.apache.flink.mesos.util.MesosConfiguration.logMesosConfig161,info,"['<level>', 'info', '</level>', '<message>', '--------------------------------------------------------------------------------', '</message>']",0,0,0
282,org.apache.flink.metrics.datadog.DatadogHttpReporter.report136,info,"['<level>', 'info', '</level>', '<message>', 'The', 'metric', '{}', 'will', 'not', 'be', 'reported', 'because', 'only', 'number', 'types', 'are', 'supported', 'by', 'this', 'reporter.', '</message>']",1,1,1
285,org.apache.flink.runtime.checkpoint.CheckpointCoordinator.triggerCheckpoint502,info,"['<level>', 'info', '</level>', '<message>', 'Checkpoint', 'triggering', 'task', '{}', 'of', 'job', '{}', 'is', 'not', 'being', 'executed', 'at', 'the', 'moment.', 'Aborting', 'checkpoint.', '</message>']",1,1,1
286,org.apache.flink.runtime.checkpoint.CheckpointCoordinator.triggerCheckpoint527,info,"['<level>', 'info', '</level>', '<message>', 'Checkpoint', 'acknowledging', 'task', '{}', 'of', 'job', '{}', 'is', 'not', 'being', 'executed', 'at', 'the', 'moment.', 'Aborting', 'checkpoint.', '</message>']",1,1,1
1211,org.apache.flink.runtime.checkpoint.Checkpoints.loadAndValidateCheckpoint209,info,"['<level>', 'info', '</level>', '<message>', 'Skipping', 'empty', 'savepoint', 'state', 'for', 'operator', '{}.', '</message>']",1,1,1
402,org.apache.flink.runtime.checkpoint.CompletedCheckpointStore.getLatestCheckpoint72,info,"['<level>', 'info', '</level>', '<message>', 'Found', 'a', 'completed', 'checkpoint', 'before', 'the', 'latest', 'savepoint,', 'will', 'use', 'it', 'to', 'recover!', '</message>']",1,1,1
2332,org.apache.flink.runtime.checkpoint.ZooKeeperCheckpointIDCounter.shutdown97,info,"['<level>', 'info', '</level>', '<message>', 'Shutting', 'down.', '</message>']",1,0,1
1212,org.apache.flink.runtime.checkpoint.ZooKeeperCompletedCheckpointStore.recover163,info,"['<level>', 'info', '</level>', '<message>', 'Trying', 'to', 'fetch', '{}', 'checkpoints', 'from', 'storage.', '</message>']",1,1,1
2331,org.apache.flink.runtime.checkpoint.ZooKeeperCompletedCheckpointStore.shutdown265,info,"['<level>', 'info', '</level>', '<message>', 'Shutting', 'down', '</message>']",1,0,1
2670,org.apache.flink.runtime.checkpoint.ZooKeeperCompletedCheckpointStore.shutdown276,info,"['<level>', 'info', '</level>', '<message>', 'Suspending', '</message>']",1,0,1
1214,org.apache.flink.runtime.clusterframework.BootstrapTools.startActorSystem244,info,"['<level>', 'info', '</level>', '<message>', 'Trying', 'to', 'start', 'actor', 'system', 'at', '{}', '</message>']",1,1,1
1215,org.apache.flink.runtime.clusterframework.BootstrapTools.updateTmpDirectoriesInConfiguration530,info,"['<level>', 'info', '</level>', '<message>', 'Setting', 'directories', 'for', 'temporary', 'files', 'to:', '{}', '</message>']",1,1,1
1217,org.apache.flink.runtime.dispatcher.Dispatcher.jobNotFinished803,info,"['<level>', 'info', '</level>', '<message>', 'Job', '{}', 'was', 'not', 'finished', 'by', 'JobManager.', '</message>']",1,1,1
1216,org.apache.flink.runtime.dispatcher.Dispatcher.jobReachedGloballyTerminalState768,info,"['<level>', 'info', '</level>', '<message>', 'Job', '{}', 'reached', 'globally', 'terminal', 'state', '{}.', '</message>']",1,1,1
996,org.apache.flink.runtime.dispatcher.Dispatcher.terminateJobManagerRunners696,info,"['<level>', 'info', '</level>', '<message>', 'Stopping', 'all', 'currently', 'running', 'jobs', 'of', 'dispatcher', '{}.', '</message>']",1,1,1
288,org.apache.flink.runtime.dispatcher.DispatcherRestEndpoint.initializeHandlers113,info,"['<level>', 'info', '</level>', '<message>', 'Failed', 'to', 'load', 'web', 'based', 'job', 'submission', 'extension.', 'Probable', 'reason:', 'flink-runtime-web', 'is', 'not', 'in', 'the', 'classpath.', '</message>']",1,1,1
997,org.apache.flink.runtime.executiongraph.ExecutionGraphBuilder.buildGraph222,info,"['<level>', 'info', '</level>', '<message>', 'Successfully', 'ran', 'initialization', 'on', 'master', 'in', '{}', 'ms.', '</message>']",1,1,1
1225,org.apache.flink.runtime.history.FsJobArchivist.archiveJob92,info,"['<level>', 'info', '</level>', '<message>', 'Job', '{}', 'has', 'been', 'archived', 'at', '{}.', '</message>']",1,1,1
291,org.apache.flink.runtime.io.network.buffer.NetworkBufferPool.NetworkBufferPool140,info,"['<level>', 'info', '</level>', '<message>', 'Allocated', '{}', 'MB', 'for', 'network', 'buffer', 'pool', '(number', 'of', 'memory', 'segments:', '{},', 'bytes', 'per', 'segment:', '{}).', '</message>']",1,1,1
1227,org.apache.flink.runtime.io.network.NettyShuffleEnvironment.start283,info,"['<level>', 'info', '</level>', '<message>', 'Starting', 'the', 'network', 'environment', 'and', 'its', 'components.', '</message>']",1,1,1
1535,org.apache.flink.runtime.jobmaster.JobMaster.onStop335,info,"['<level>', 'info', '</level>', '<message>', 'Stopping', 'the', 'JobMaster', 'for', 'job', '{}({}).', '</message>']",1,1,1
1576,org.apache.flink.runtime.jobmaster.JobMaster.requestKvStateLocation461,info,"['<level>', 'info', '</level>', '<message>', 'Error', 'while', 'request', 'key-value', 'state', 'location', '</message>']",1,1,0
1233,org.apache.flink.runtime.jobmaster.JobMaster.requestOperatorBackPressureStats657,info,"['<level>', 'info', '</level>', '<message>', 'Error', 'while', 'requesting', 'operator', 'back', 'pressure', 'stats', '</message>']",1,1,1
709,org.apache.flink.runtime.jobmaster.slotpool.SlotPoolImpl.requestSlotFromResourceManager319,info,"['<level>', 'info', '</level>', '<message>', 'Requesting', 'new', 'slot', '[{}]', 'and', 'profile', '{}', 'from', 'resource', 'manager.', '</message>']",1,1,1
222,org.apache.flink.runtime.metrics.dump.MetricQueryService.logDumpSizeWouldExceedLimit192,info,"['<level>', 'info', '</level>', '<message>', '{}', 'will', 'not', 'be', 'reported', 'as', 'the', 'metric', 'dump', 'would', 'exceed', 'the', 'maximum', 'size', 'of', '{}', 'bytes.Some', 'metrics', '</message>']",1,1,1
998,org.apache.flink.runtime.metrics.MetricRegistryImpl.MetricRegistryImpl146,info,"['<level>', 'info', '</level>', '<message>', 'Reporting', 'metrics', 'for', 'reporter', '{}', 'of', 'type', '{}.', '</message>']",1,1,1
78,org.apache.flink.runtime.metrics.ReporterSetup.loadViaReflection247,info,"['<level>', 'info', '</level>', '<message>', 'The', 'reporter', 'configuration', 'of', '{}', 'is', 'out-dated', '(but', 'still', 'supported).', 'Please', 'configure', 'a', 'factory', 'class', 'instead:', ""'{}{}.{}:"", ""{}'"", 'to', 'ensure', 'that', 'the', 'configuration', 'continues', 'to', 'work', 'with', 'future', 'versions.metrics.reporter.factory.class', '</message>']",0,1,1
2152,org.apache.flink.runtime.minicluster.MiniCluster.start267,info,"['<level>', 'info', '</level>', '<message>', 'Starting', 'RPC', 'Service(s)', '</message>']",1,1,1
1539,org.apache.flink.runtime.net.ConnectionUtils.findConnectingAddress409,info,"['<level>', 'info', '</level>', '<message>', 'Trying', 'to', 'connect', 'to', 'address', '{}', '</message>']",1,1,1
64,org.apache.flink.runtime.query.QueryableStateUtils.createKvStateClientProxy84,info,"['<level>', 'info', '</level>', '<message>', 'Could', 'not', 'load', 'Queryable', 'State', 'Client', 'Proxy.', 'Probable', 'reason:', 'flink-queryable-state-runtime', 'is', 'not', 'in', 'the', 'classpath.', 'To', 'enable', 'Queryable', 'State,', 'please', 'move', 'the', 'flink-queryable-state-runtime', 'jar', 'from', 'the', 'opt', 'to', 'the', 'lib', 'folder.', '</message>']",1,1,1
1550,org.apache.flink.runtime.registration.RetryingRegistration.register204,info,"['<level>', 'info', '</level>', '<message>', 'Registration', 'at', '{}', 'attempt', '{}', '(timeout={}ms)', '</message>']",1,1,1
1554,org.apache.flink.runtime.resourcemanager.ResourceManager.closeTaskManagerConnection805,info,"['<level>', 'info', '</level>', '<message>', 'Closing', 'TaskExecutor', 'connection', '{}', 'because:', '{}', '</message>']",1,1,1
1566,org.apache.flink.runtime.rest.handler.legacy.backpressure.StackTraceSampleCoordinator.shutDown220,info,"['<level>', 'info', '</level>', '<message>', 'Shutting', 'down', 'stack', 'trace', 'sample', 'coordinator.', '</message>']",1,1,1
1560,org.apache.flink.runtime.rest.RestServerEndpoint.checkAndCreateUploadDir474,info,"['<level>', 'info', '</level>', '<message>', 'Using', 'directory', '{}', 'for', 'file', 'uploads.', '</message>']",1,1,1
1561,org.apache.flink.runtime.rest.RestServerEndpoint.checkAndCreateUploadDir476,info,"['<level>', 'info', '</level>', '<message>', 'Created', 'directory', '{}', 'for', 'file', 'uploads.', '</message>']",1,1,1
1559,org.apache.flink.runtime.rest.RestServerEndpoint.createUploadDir454,info,"['<level>', 'info', '</level>', '<message>', 'Upload', 'directory', '{}', 'does', 'not', 'exist.', '</message>']",1,1,1
297,org.apache.flink.runtime.rpc.akka.AkkaRpcActor.handleMessage157,info,"['<level>', 'info', '</level>', '<message>', 'The', 'rpc', 'endpoint', '{}', 'has', 'not', 'been', 'started', 'yet.', 'Discarding', 'message', '{}', 'until', 'processing', 'is', 'started.', '</message>']",1,1,0
1966,org.apache.flink.runtime.taskexecutor.JobLeaderService.start125,info,"['<level>', 'info', '</level>', '<message>', 'Start', 'job', 'leader', 'service.', '</message>']",1,1,1
1967,org.apache.flink.runtime.taskexecutor.JobLeaderService.stop142,info,"['<level>', 'info', '</level>', '<message>', 'Stop', 'job', 'leader', 'service.', '</message>']",1,1,1
2685,org.apache.flink.runtime.taskexecutor.TaskExecutor.requestSlot856,info,"['<level>', 'info', '</level>', '<message>', ' ', '</message>']",0,0,0
1002,org.apache.flink.runtime.taskexecutor.TaskManagerRunner.main281,info,"['<level>', 'info', '</level>', '<message>', 'Maximum', 'number', 'of', 'open', 'file', 'descriptors', 'is', '{}.', '</message>']",1,1,1
227,org.apache.flink.runtime.taskexecutor.TaskManagerServices.createMemoryManager364,info,"['<level>', 'info', '</level>', '<message>', 'Limiting', 'managed', 'memory', 'to', '{}', 'of', 'the', 'currently', 'free', 'heap', 'space', '({}', 'MB),', 'memory', 'will', 'be', 'allocated', 'lazily.', '</message>']",1,1,1
2687,org.apache.flink.runtime.taskmanager.MemoryLogger.run130,info,"['<level>', 'info', '</level>', '<message>', ' ', '</message>']",0,0,0
2688,org.apache.flink.runtime.taskmanager.MemoryLogger.run131,info,"['<level>', 'info', '</level>', '<message>', ' ', '</message>']",0,0,0
2691,org.apache.flink.runtime.util.EnvironmentInformation.logEnvironmentInfo281,info,"['<level>', 'info', '</level>', '<message>', '--------------------------------------------------------------------------------', '</message>']",0,0,0
2672,org.apache.flink.runtime.util.EnvironmentInformation.logEnvironmentInfo286,info,"['<level>', 'info', '</level>', '<message>', 'JVM:', '</message>']",0,0,1
2692,org.apache.flink.runtime.util.EnvironmentInformation.logEnvironmentInfo303,info,"['<level>', 'info', '</level>', '<message>', 'nan', '</message>']",0,0,0
2693,org.apache.flink.runtime.util.EnvironmentInformation.logEnvironmentInfo313,info,"['<level>', 'info', '</level>', '<message>', 'nan', '</message>']",0,0,0
2153,org.apache.flink.runtime.webmonitor.history.HistoryServer.start217,info,"['<level>', 'info', '</level>', '<message>', 'Starting', 'history', 'server.', '</message>']",1,1,1
2154,org.apache.flink.runtime.webmonitor.history.HistoryServer.stop240,info,"['<level>', 'info', '</level>', '<message>', 'Stopping', 'history', 'server.', '</message>']",1,1,1
2155,org.apache.flink.runtime.webmonitor.history.HistoryServer.stop257,info,"['<level>', 'info', '</level>', '<message>', 'Stopped', 'history', 'server.', '</message>']",1,1,1
2673,org.apache.flink.runtime.zookeeper.FlinkZooKeeperQuorumPeer.runFlinkZkQuorumPeer104,info,"['<level>', 'info', '</level>', '<message>', 'Configuration:', '</message>']",0,0,1
1858,org.apache.flink.streaming.api.functions.source.FileMonitoringFunction.run98,info,"['<level>', 'info', '</level>', '<message>', 'File', 'processed:', '{},', '{},', '{}', '</message>']",0,1,1
1855,org.apache.flink.streaming.api.functions.source.MessageAcknowledgingSourceBase.initializeState150,info,"['<level>', 'info', '</level>', '<message>', 'Restoring', 'state', 'for', 'the', '{}.', '</message>']",1,1,1
2697,org.apache.flink.streaming.api.operators.AbstractStreamOperator.snapshotState424,info,"['<level>', 'info', '</level>', '<message>', ' ', '</message>']",0,0,0
2677,org.apache.flink.streaming.connectors.gcp.pubsub.emulator.GCloudEmulatorManager.terminateAndDiscardAnyExistingContainers226,info,"['<level>', 'info', '</level>', '<message>', '/===========================================', '</message>']",0,0,0
2678,org.apache.flink.streaming.connectors.gcp.pubsub.emulator.GCloudEmulatorManager.terminateAndDiscardAnyExistingContainers247,info,"['<level>', 'info', '</level>', '<message>', '\\===========================================', '</message>']",0,0,0
1528,org.apache.flink.streaming.connectors.gcp.pubsub.emulator.PubsubHelper.deleteTopic101,info,"['<level>', 'info', '</level>', '<message>', 'DeleteTopic', '{}', 'first', 'delete', 'old', 'subscriptions.', '</message>']",1,1,1
1198,org.apache.flink.streaming.connectors.kafka.FlinkKafkaConsumerBase.initializeState886,info,"['<level>', 'info', '</level>', '<message>', 'Consumer', 'subtask', '{}', 'has', 'no', 'restore', 'state.', '</message>']",1,1,1
254,org.apache.flink.streaming.connectors.kafka.FlinkKafkaConsumerBase.open623,info,"['<level>', 'info', '</level>', '<message>', 'Consumer', 'subtask', '{}', 'will', 'start', 'reading', 'the', 'following', '{}', 'partitions', 'from', 'the', 'specified', 'startup', 'offsets', '{}:', '{}', '</message>']",1,1,1
1532,org.apache.flink.streaming.connectors.kafka.FlinkKafkaProducer.initProducer1184,info,"['<level>', 'info', '</level>', '<message>', 'Producer', 'implementation', 'does', 'not', 'support', 'metrics', '</message>']",1,1,1
529,org.apache.flink.streaming.connectors.kafka.internal.FlinkKafkaInternalProducer.resumeTransaction196,info,"['<level>', 'info', '</level>', '<message>', 'Attempting', 'to', 'resume', 'transaction', '{}', 'with', 'producerId', '{}', 'and', 'epoch', '{}', '</message>']",1,1,1
1533,org.apache.flink.streaming.connectors.kafka.internal.KafkaConsumerThread.run182,info,"['<level>', 'info', '</level>', '<message>', 'Consumer', 'implementation', 'does', 'not', 'support', 'metrics', '</message>']",1,1,1
531,org.apache.flink.streaming.connectors.kafka.internals.Kafka08PartitionDiscoverer.getAllTopics116,info,"['<level>', 'info', '</level>', '<message>', 'Trying', 'to', 'get', 'topic', 'metadata', 'from', 'broker', '{}', 'in', 'try', '{}/{}', '</message>']",1,1,1
447,org.apache.flink.streaming.connectors.kafka.internals.SimpleConsumerThread.run190,info,"['<level>', 'info', '</level>', '<message>', 'Consumer', 'thread', '{}', 'does', 'not', 'have', 'any', 'partitions', 'assigned', 'anymore.', 'Stopping', 'thread.', '</message>']",1,1,1
255,org.apache.flink.streaming.connectors.kinesis.FlinkKinesisConsumer.run312,info,"['<level>', 'info', '</level>', '<message>', 'Subtask', '{}', 'is', 'seeding', 'the', 'fetcher', 'with', 'new', 'discovered', 'shard', '{},', 'starting', 'state', 'set', 'to', 'the', 'SENTINEL_EARLIEST_SEQUENCE_NUM', '</message>']",1,1,1
280,org.apache.flink.streaming.connectors.kinesis.FlinkKinesisConsumer.run328,info,"['<level>', 'info', '</level>', '<message>', 'Subtask', '{}', 'will', 'be', 'seeded', 'with', 'initial', 'shard', '{},', 'starting', 'state', 'set', 'as', 'sequence', 'number', '{}', '</message>']",1,1,1
2324,org.apache.flink.streaming.connectors.kinesis.FlinkKinesisProducer.close299,info,"['<level>', 'info', '</level>', '<message>', 'Closing', 'producer', '</message>']",1,0,1
1201,org.apache.flink.streaming.connectors.kinesis.FlinkKinesisProducer.open250,info,"['<level>', 'info', '</level>', '<message>', 'Started', 'Kinesis', 'producer', 'instance', 'for', 'region', ""'{}'"", '</message>']",1,1,1
256,org.apache.flink.streaming.connectors.kinesis.internals.KinesisDataFetcher.runFetcher519,info,"['<level>', 'info', '</level>', '<message>', 'Subtask', '{}', 'has', 'no', 'active', 'shards', 'to', 'read', 'on', 'startup;', 'marking', 'the', 'subtask', 'as', 'temporarily', 'idle', '...', '</message>']",1,1,1
216,org.apache.flink.streaming.connectors.kinesis.internals.KinesisDataFetcher.updateState803,info,"['<level>', 'info', '</level>', '<message>', 'Subtask', '{}', 'has', 'reached', 'the', 'end', 'of', 'all', 'currently', 'subscribed', 'shards;', 'marking', 'the', 'subtask', 'as', 'temporarily', 'idle', '...', '</message>']",1,1,1
281,org.apache.flink.streaming.connectors.kinesis.proxy.KinesisProxy.listShards452,info,"['<level>', 'info', '</level>', '<message>', 'The', 'stream', 'is', 'currently', 'not', 'in', 'active', 'state.', 'Reusing', 'the', 'older', 'state', 'for', 'the', 'time', 'being', '</message>']",1,1,1
2325,org.apache.flink.streaming.connectors.twitter.TwitterSource.close168,info,"['<level>', 'info', '</level>', '<message>', 'Closing', 'source', '</message>']",1,0,1
1011,org.apache.flink.streaming.runtime.tasks.StreamIterationHead.cleanup111,info,"['<level>', 'info', '</level>', '<message>', 'Iteration', 'head', '{}', 'removed', 'feedback', 'queue', 'under', '{}', '</message>']",1,1,1
1010,org.apache.flink.streaming.runtime.tasks.StreamIterationHead.init93,info,"['<level>', 'info', '</level>', '<message>', 'Iteration', 'head', '{}', 'added', 'feedback', 'queue', 'under', '{}', '</message>']",1,1,1
1012,org.apache.flink.streaming.runtime.tasks.StreamTask.triggerCheckpointOnBarrier735,info,"['<level>', 'info', '</level>', '<message>', 'Operator', '{}', 'was', 'cancelled', 'while', 'performing', 'checkpoint', '{}.', '</message>']",1,1,1
1575,org.apache.flink.table.catalog.hive.HiveCatalog.createHiveConf152,info,"['<level>', 'info', '</level>', '<message>', 'Setting', 'hive', 'conf', 'dir', 'as', '{}', '</message>']",1,1,0
1965,org.apache.flink.table.catalog.hive.HiveCatalog.open182,info,"['<level>', 'info', '</level>', '<message>', 'Connected', 'to', 'Hive', 'metastore', '</message>']",1,1,1
1848,org.apache.flink.table.client.gateway.local.LocalExecutor.LocalExecutor140,info,"['<level>', 'info', '</level>', '<message>', 'Using', 'default', 'environment', 'file:', '{}', '</message>']",1,1,1
1847,org.apache.flink.table.client.SqlClient.readSessionEnvironment167,info,"['<level>', 'info', '</level>', '<message>', 'Using', 'session', 'environment', 'file:', '{}', '</message>']",1,1,1
1013,org.apache.flink.table.runtime.hashtable.LongHashPartition.reHash401,info,"['<level>', 'info', '</level>', '<message>', 'The', 'rehash', 'take', '{}', 'ms', 'for', '{}', 'segments', '</message>']",1,1,1
1014,org.apache.flink.table.runtime.operators.aggregate.BytesHashMap.growAndRehash440,info,"['<level>', 'info', '</level>', '<message>', 'The', 'rehash', 'take', '{}', 'ms', 'for', '{}', 'segments', '</message>']",1,1,1
2699,org.apache.flink.table.runtime.operators.sort.BinaryExternalSorter.releaseSortMemory457,info,"['<level>', 'info', '</level>', '<message>', 'error.', '</message>']",0,0,0
705,org.apache.flink.util.NetUtils.createSocketFromPorts411,info,"['<level>', 'info', '</level>', '<message>', 'Unable', 'to', 'allocate', 'on', 'port', '{},', 'due', 'to', 'error:', '{}', '</message>']",1,1,1
2700,org.apache.flink.walkthrough.common.sink.LoggerOutputFormat.writeRecord45,info,"['<level>', 'info', '</level>', '<message>', ' ', '</message>']",0,0,0
1238,org.apache.flink.yarn.AbstractYarnClusterDescriptor.retrieve354,info,"['<level>', 'info', '</level>', '<message>', 'Found', 'Web', 'Interface', '{}:{}', 'of', 'application', ""'{}'."", '</message>']",1,1,1
1240,org.apache.flink.yarn.AbstractYarnClusterDescriptor.startAppMaster1011,info,"['<level>', 'info', '</level>', '<message>', 'Waiting', 'for', 'the', 'cluster', 'to', 'be', 'allocated', '</message>']",1,1,1
11,org.apache.flink.yarn.AbstractYarnClusterDescriptor.startAppMaster1050,info,"['<level>', 'info', '</level>', '<message>', 'The', 'Flink', 'YARN', 'client', 'has', 'been', 'started', 'in', 'detached', 'mode.', 'In', 'order', 'to', 'stop', '|', 'Flink', 'on', 'YARN,', 'use', 'the', 'following', 'command', 'or', 'a', 'YARN', 'web', 'interface', 'to', 'stop', '|', 'it:\\nyarn', 'application', '-kill', '|', '\\nPlease', 'also', 'note', 'that', 'the', '|', 'temporary', 'files', 'of', 'the', 'YARN', 'session', 'in', 'the', 'home', 'directory', 'will', 'not', 'be', 'removed.', '</message>']",1,1,1
2701,org.apache.flink.yarn.cli.FlinkYarnSessionCli.logAndSysout791,info,"['<level>', 'info', '</level>', '<message>', ' ', '</message>']",0,0,0
1241,org.apache.flink.yarn.cli.FlinkYarnSessionCli.run637,info,"['<level>', 'info', '</level>', '<message>', 'Could', 'not', 'properly', 'terminate', 'the', 'Flink', 'cluster.', '</message>']",1,1,1
1242,org.apache.flink.yarn.cli.FlinkYarnSessionCli.tryRetrieveAndLogApplicationReport728,info,"['<level>', 'info', '</level>', '<message>', 'Could', 'not', 'log', 'the', 'final', 'application', 'report.', '</message>']",1,1,1
1236,org.apache.flink.yarn.Utils.obtainTokenForHBase330,info,"['<level>', 'info', '</level>', '<message>', 'Added', 'HBase', 'Kerberos', 'security', 'token', 'to', 'credentials.', '</message>']",1,1,1
2338,org.apache.hadoop.conf.Configuration.getConfResourceAsInputStream2628,info,"['<level>', 'info', '</level>', '<message>', 'not', 'found', '</message>']",1,0,0
2339,org.apache.hadoop.conf.Configuration.getConfResourceAsReader2652,info,"['<level>', 'info', '</level>', '<message>', 'not', 'found', '</message>']",1,0,0
2698,org.apache.hadoop.conf.Configuration.warnOnceIfDeprecated1147,info,"['<level>', 'info', '</level>', '<message>', ' ', '</message>']",0,0,0
2173,org.apache.hadoop.hbase.c.doRow502,info,"['<level>', 'info', '</level>', '<message>', 'NOTHING', 'FOLLOWS', '</message>']",0,0,0
1098,org.apache.hadoop.hbase.chaos.actions.ChangeSplitPolicyAction.perform52,info,"['<level>', 'info', '</level>', '<message>', 'Performing', 'action:', 'Change', 'split', 'policy', 'of', 'table', '</message>']",1,1,1
1029,org.apache.hadoop.hbase.chaos.actions.MoveRegionsOfTableAction.perform62,info,"['<level>', 'info', '</level>', '<message>', 'Performing', 'action:', 'Move', 'regions', 'of', 'table', '{}', '</message>']",1,1,1
1030,org.apache.hadoop.hbase.chaos.actions.MoveRegionsOfTableAction.perform65,info,"['<level>', 'info', '</level>', '<message>', 'Table', '{}', ""doesn't"", 'have', 'regions', 'to', 'move', '</message>']",1,1,1
2232,org.apache.hadoop.hbase.chaos.actions.RestartActionBaseAction.sleep37,info,"['<level>', 'info', '</level>', '<message>', 'Sleeping', 'for:', '</message>']",1,1,1
1099,org.apache.hadoop.hbase.chaos.actions.UnbalanceKillAndRebalanceAction.perform84,info,"['<level>', 'info', '</level>', '<message>', 'Not', 'killing', 'server', 'because', 'it', 'holds', 'hbase:meta.', '</message>']",1,1,1
866,org.apache.hadoop.hbase.conf.ConfigurationManager.notifyAllObservers117,info,"['<level>', 'info', '</level>', '<message>', 'Starting', 'to', 'notify', 'all', 'observers', 'that', 'config', 'changed.', '</message>']",1,1,1
481,org.apache.hadoop.hbase.coordination.ZKSplitLogManagerCoordination.deleteNodeFailure295,info,"['<level>', 'info', '</level>', '<message>', 'Failed', 'to', 'delete', 'node', '|', 'and', 'will', 'retry', 'soon.', '</message>']",1,1,1
786,org.apache.hadoop.hbase.coordination.ZkSplitLogWorkerCoordination.endTask557,info,"['<level>', 'info', '</level>', '<message>', 'successfully', 'transitioned', 'task', '|', 'to', 'final', 'state', '</message>']",1,1,0
2456,org.apache.hadoop.hbase.HFilePerformanceEvaluation.runBenchmarks165,info,"['<level>', 'info', '</level>', '<message>', ' ', '</message>']",0,0,0
1,org.apache.hadoop.hbase.io.hfile.bucket.BucketCache.logStats637,info,"['<level>', 'info', '</level>', '<message>', 'failedBlockAdditions=', '|', ',', '|', 'totalSize=', '|', ',', '|', 'freeSize=', '|', ',', '|', 'usedSize=', '|', ',', '|', 'cacheSize=', '|', ',', '|', 'accesses=', '|', ',', '|', 'hits=', '|', ',', '|', 'IOhitsPerSecond=', '|', ',', '|', 'IOTimePerHit=', '|', '%.2f', '|', ',', '|', 'hitRatio=', '|', '0,', '|', ',', '|', 'cachingAccesses=', '|', ',', '|', 'cachingHits=', '|', ',', '|', 'cachingHitsRatio=', '|', '0,', '|', ',', '|', 'evictions=', '|', ',', '|', 'evicted=', '|', ',', '|', 'evictedPerRun=', '</message>']",0,0,1
1700,org.apache.hadoop.hbase.mapreduce.CopyTable.run419,info,"['<level>', 'info', '</level>', '<message>', 'command:', './bin/hbase', 'org.apache.hadoop.hbase.tool.LoadIncrementalHFiles', '{}', '{}', '</message>']",0,0,0
2032,org.apache.hadoop.hbase.mapreduce.Import.createSubmittableJob828,info,"['<level>', 'info', '</level>', '<message>', 'Use', 'Large', 'Result!!', '</message>']",1,1,0
545,org.apache.hadoop.hbase.master.ActiveMasterManager.hasActiveMaster253,info,"['<level>', 'info', '</level>', '<message>', 'Received', 'an', 'unexpected', 'KeeperException', 'when', 'checking', '|', 'isActiveMaster', ':', '</message>']",1,1,1
1994,org.apache.hadoop.hbase.master.assignment.AssignmentManager.updateRegionTransition966,info,"['<level>', 'info', '</level>', '<message>', 'RegionServer', '{}', '{}', '</message>']",0,1,1
1292,org.apache.hadoop.hbase.master.assignment.RegionStates.addToOfflineRegions629,info,"['<level>', 'info', '</level>', '<message>', 'Added', 'to', 'offline,', 'CURRENTLY', 'NEVER', 'CLEARED!!!', '</message>']",1,1,0
67,org.apache.hadoop.hbase.master.balancer.SimpleLoadBalancer.balanceCluster447,info,"['<level>', 'info', '</level>', '<message>', 'Done.', 'Calculated', 'a', 'load', 'balance', 'in', '|', 'ms.', '|', 'Moving', '|', 'regions', 'off', 'of', '|', 'overloaded', 'servers', 'onto', '|', 'less', 'loaded', 'servers', '</message>']",1,1,1
45,org.apache.hadoop.hbase.master.balancer.StochasticLoadBalancer.balanceCluster441,info,"['<level>', 'info', '</level>', '<message>', 'Finished', 'computing', 'new', 'load', 'balance', 'plan.', 'Computation', 'took', '{}', 'to', 'try', '{}', 'different', 'iterations.', 'Found', 'a', 'solution', 'that', 'moves', '{}', 'regions;', 'Going', 'from', 'a', 'computed', 'cost', 'of', '{}', 'to', 'a', 'new', 'cost', 'of', '{}', '</message>']",1,1,1
